"260	Intermediate German	212	63	64	10	2",,
"261	Advanced German	212	59	60	10	2",,
"278	Beginner Latin	205	125	126	10	2",,
"287	Intermediate Portuguese	214	151	152	10	2",,
"273	Intermediate Korean	200	119	120	10	2",,
"277	Advanced Japanese	217	107	108	10	2",,
"288	Beginner Portuguese	214	149	150	10	2",,
"281	Beginner Mandarin	228	133	134	10	2",,
"214	Portuguese	7	146	153	10	1",,
"235	Beginner French	208	53	54	10	2",,
"370	English		1	28	7	0",,
"230	Intermediate Czech	211	31	32	10	2",,
"237	Advanced French	208	51	52	10	2",,
"228	Mandarin	7	130	137	10	1",,
"46	IB Subjects	45	70	155	9	1",,
"339	Information Â Technology In A Global Society SL	46	117	118	9	2",,
"340	Mathematical Studies SL	46	119	120	9	2",,
"353	Systems & Societies SL	46	145	146	9	2",,
"354	Theatre HL	46	147	148	9	2",,
"355	Theatre SL	46	149	150	9	2",,
"356	Visual Arts HL	46	151	152	9	2",,
"357	Visual Arts SL	46	153	154	9	2",,
"171	Nutrition	165	13	14	14	2",,
"173	Chemistry	151	18	29	14	1",,
"184	Aerospace Engineering	174	31	32	14	2",,
"185	Architectural Engineering	174	33	34	14	2",,
"186	Biomechanical Engineering	174	35	36	14	2",,
"176	Basic Physics	175	51	52	14	2",,
"177	Physics (AP/College Intro)	175	55	56	14	2",,
"178	Physics (Electricity and Magnetism)	175	57	58	14	2",,
"437	Business		1	48	2	0",,
"443	Entrepreneurship	441	45	46	2	2",,
"358	Elementary Education		1	24	6	0",,
"386	Software	384	96	121	4	1",,
"384	Computer 		1	132	4	0",,
"442	Cost Accounting	438	3	4	2	2",,
"385	Adobe 	384	2	13	4	1",,
"247	Beginner Romanian	218	157	158	10	2",,
"248	Beginner Russian	201	165	166	10	2",,
"180	Physics (Mechanics)	175	61	62	14	2",,
"182	Computational Physics	175	53	54	14	2",,
"153	Biochemistry	152	71	72	14	2",,
"154	Astronomy	152	69	70	14	2",,
"155	Biostatistics	152	73	74	14	2",,
"156	Botany	152	75	76	14	2",,
"165	Biology	151	2	17	14	1",,
"571	Art		1	20	1	0",,
"73	TOEFL (Writing)	69	169	170	17	2",,
"108	Hebrew Regents High School	101	93	94	17	2",,
"109	Italian Regents High School	101	95	96	17	2",,
"104	Science Regents High School	101	101	102	17	2",,
